GRE Score,TOEFL Score,SOP,CGPA,Chance Of Admit,Research,LOR,University Rating
337,118,4.5,9.65,0.92,1,4.5,4
324,107,4,8.87,0.76,1,4.5,4
316,104,3,8,0.72,1,3.5,3
322,110,3.5,8.67,0.8,1,2.5,3
314,103,2,8.21,0.65,0,3,2
330,115,4.5,9.34,0.9,1,3,5
321,109,3,8.2,0.75,1,4,3
308,101,3,7.9,0.68,0,4,2
302,102,2,8,0.5,0,1.5,1
323,108,3.5,8.6,0.45,0,3,3
325,106,3.5,8.4,0.52,1,4,3
327,111,4,9,0.84,1,4.5,4
328,112,4,9.1,0.78,1,4.5,4
307,109,4,8,0.62,1,3,3
311,104,3.5,8.2,0.61,1,2,3
314,105,3.5,8.3,0.54,0,2.5,3
317,107,4,8.7,0.66,0,3,3
319,106,4,8,0.65,1,3,3
318,110,4,8.8,0.63,0,3,3
303,102,3.5,8.5,0.62,0,3,3
312,107,3,7.9,0.64,1,2,3
325,114,3,8.4,0.7,0,2,4
328,116,5,9.5,0.94,1,5,5
334,119,5,9.7,0.95,1,4.5,5
336,119,4,9.8,0.97,1,3.5,5
340,120,4.5,9.6,0.94,1,4.5,5
322,109,4.5,8.8,0.76,0,3.5,5
298,98,1.5,7.5,0.44,1,2.5,2
295,93,2,7.2,0.46,0,2,1
310,99,1.5,7.3,0.54,0,2,2
300,97,3,8.1,0.65,1,3,2
327,103,4,8.3,0.74,1,4,3
338,118,3,9.4,0.91,1,4.5,4
340,114,4,9.6,0.9,1,4,5
331,112,4,9.8,0.94,1,5,5
320,110,5,9.2,0.88,1,5,5
299,106,4,8.4,0.64,0,4,2
300,105,1,7.8,0.58,0,2,1
304,105,3,7.5,0.52,0,1.5,1
307,108,4,7.7,0.48,0,3.5,2
308,110,3.5,8,0.46,1,3,3
316,105,2.5,8.2,0.49,1,2.5,2
313,107,2.5,8.5,0.53,1,2,2
332,117,4.5,9.1,0.87,0,4,4
326,113,4.5,9.4,0.91,1,4,5
322,110,5,9.1,0.88,1,4,5
329,114,4,9.3,0.86,1,5,5
339,119,4.5,9.7,0.89,0,4,5
321,110,3.5,8.85,0.82,1,5,3
327,111,3,8.4,0.78,1,4,4
313,98,2.5,8.3,0.76,1,4.5,3
312,100,1.5,7.9,0.56,1,3.5,2
334,116,4,8,0.78,1,3,4
324,112,4,8.1,0.72,1,2.5,4
322,110,3,8,0.7,0,3.5,3
320,103,3,7.7,0.64,0,3,3
316,102,2,7.4,0.64,0,3,3
298,99,4,7.6,0.46,0,2,2
300,99,3,6.8,0.36,1,2,1
311,104,2,8.3,0.42,0,2,2
309,100,3,8.1,0.48,0,3,2
307,101,4,8.2,0.47,0,3,3
304,105,3,8.2,0.54,1,3,2
315,107,4,8.5,0.56,1,3,2
325,111,3,8.7,0.52,0,3.5,3
325,112,3.5,8.92,0.55,0,3.5,4
327,114,3,9.02,0.61,0,3,3
316,107,3.5,8.64,0.57,1,3.5,2
318,109,3.5,9.22,0.68,1,4,3
328,115,4.5,9.16,0.78,1,4,4
332,118,5,9.64,0.94,1,5,5
336,112,5,9.76,0.96,1,5,5
321,111,5,9.45,0.93,1,5,5
314,108,4.5,9.04,0.84,1,4,4
314,106,3,8.9,0.74,0,5,3
329,114,2,8.56,0.72,1,4,2
327,112,3,8.72,0.74,1,3,3
301,99,3,8.22,0.64,0,2,2
296,95,3,7.54,0.44,1,2,2
294,93,1.5,7.36,0.46,0,2,1
312,105,2,8.02,0.5,1,3,3
340,120,5,9.5,0.96,1,5,4
320,110,5,9.22,0.92,1,4.5,5
322,115,4,9.36,0.92,1,4.5,5
340,115,4.5,9.45,0.94,1,4.5,5
319,103,4.5,8.66,0.76,0,3.5,4
315,106,4.5,8.42,0.72,0,3.5,3
317,107,3.5,8.28,0.66,0,3,2
314,108,4.5,8.14,0.64,0,3.5,3
316,109,4.5,8.76,0.74,1,3.5,4
318,106,4,7.92,0.64,1,4,2
299,97,5,7.66,0.38,0,3.5,3
298,98,4,8.03,0.34,0,3,2
301,97,3,7.88,0.44,1,3,2
303,99,2,7.66,0.36,0,2.5,3
304,100,1.5,7.84,0.42,0,2.5,4
306,100,3,8,0.48,0,3,2
331,120,4,8.96,0.86,1,4,3
332,119,5,9.24,0.9,1,4.5,4
323,113,4,8.88,0.79,1,4,3
322,107,3.5,8.46,0.71,1,3.5,3
312,105,2.5,8.12,0.64,0,3,2
314,106,4,8.25,0.62,0,3.5,2
317,104,4.5,8.47,0.57,0,4,2
326,112,3.5,9.05,0.74,1,3,3
316,110,4,8.78,0.69,1,4.5,3
329,111,4.5,9.18,0.87,1,4.5,4
338,117,3.5,9.46,0.91,1,4.5,4
331,116,5,9.38,0.93,1,5,5
304,103,5,8.64,0.68,0,4,5
305,108,3,8.48,0.61,0,3,5
321,109,4,8.68,0.69,1,4,4
301,107,3.5,8.34,0.62,1,3.5,3
320,110,4,8.56,0.72,0,3.5,2
311,105,3.5,8.45,0.59,1,3,3
310,106,4.5,9.04,0.66,1,4.5,4
299,102,4,8.62,0.56,0,3.5,3
290,104,2,7.46,0.45,0,2.5,4
296,99,3,7.28,0.47,0,3.5,2
327,104,3,8.84,0.71,1,3.5,5
335,117,5,9.56,0.94,1,5,5
334,119,4.5,9.48,0.94,1,4.5,5
310,106,1.5,8.36,0.57,0,2.5,4
308,108,3.5,8.22,0.61,0,3.5,3
301,106,2.5,8.47,0.57,0,3,4
300,100,2,8.66,0.64,1,3,3
323,113,4,9.32,0.85,1,3,3
319,112,2.5,8.71,0.78,1,2,3
326,112,3.5,9.1,0.84,1,3,3
333,118,5,9.35,0.92,1,5,5
339,114,4,9.76,0.96,1,4.5,5
303,105,5,8.65,0.77,0,4.5,5
309,105,3.5,8.56,0.71,0,3.5,5
323,112,4,8.78,0.79,0,4.5,5
333,113,4,9.28,0.89,1,4,5
314,109,3.5,8.77,0.82,1,4,4
312,103,5,8.45,0.76,0,4,3
316,100,1.5,8.16,0.71,1,3,2
326,116,4.5,9.08,0.8,1,3,2
318,109,3.5,9.12,0.78,0,3.5,1
329,110,4,9.15,0.84,1,3,2
332,118,4.5,9.36,0.9,1,3.5,2
331,115,4,9.44,0.92,1,3.5,5
340,120,4.5,9.92,0.97,1,4,4
325,112,3,8.96,0.8,1,3.5,2
320,113,2,8.64,0.81,1,2.5,2
315,105,2,8.48,0.75,0,2.5,3
326,114,3,9.11,0.83,1,3,3
339,116,4,9.8,0.96,1,3.5,4
311,106,3.5,8.26,0.79,1,3,2
334,114,4,9.43,0.93,1,4,4
332,116,5,9.28,0.94,1,5,5
321,112,5,9.06,0.86,1,5,5
324,105,3,8.75,0.79,0,4,3
326,108,3,8.89,0.8,0,3.5,3
312,109,3,8.69,0.77,0,3,3
315,105,2,8.34,0.7,0,2.5,3
309,104,2,8.26,0.65,0,2.5,2
306,106,2,8.14,0.61,0,2.5,2
297,100,1.5,7.9,0.52,0,2,1
315,103,1.5,7.86,0.57,0,2,1
298,99,1.5,7.46,0.53,0,3,1
318,109,3,8.5,0.67,0,3,3
317,105,3.5,8.56,0.68,0,3,3
329,111,4.5,9.01,0.81,1,4,4
322,110,4.5,8.97,0.78,0,4,5
302,102,3.5,8.33,0.65,0,5,3
313,102,2,8.27,0.64,0,3,3
293,97,2,7.8,0.64,1,4,2
311,99,2.5,7.98,0.65,0,3,2
312,101,2.5,8.04,0.68,1,3.5,2
334,117,4,9.07,0.89,1,4.5,5
322,110,4,9.13,0.86,1,5,4
323,113,4,9.23,0.89,1,4.5,4
321,111,4,8.97,0.87,1,4,4
320,111,4.5,8.87,0.85,1,3.5,4
329,119,4.5,9.16,0.9,1,4.5,4
319,110,3.5,9.04,0.82,0,3.5,3
309,108,2.5,8.12,0.72,0,3,3
307,102,3,8.27,0.73,0,3,3
300,104,3.5,8.16,0.71,0,3,3
305,107,2.5,8.42,0.71,0,2.5,2
299,100,3,7.88,0.68,0,3.5,2
314,110,4,8.8,0.75,0,4,3
316,106,2.5,8.32,0.72,0,4,2
327,113,4.5,9.11,0.89,1,4.5,4
317,107,3.5,8.68,0.84,1,3,3
335,118,4.5,9.44,0.93,1,3.5,5
331,115,4.5,9.36,0.93,1,3.5,5
324,112,5,9.08,0.88,1,5,5
324,111,4.5,9.16,0.9,1,4,5
323,110,4,8.98,0.87,1,5,5
322,114,4.5,8.94,0.86,1,4,5
336,118,4.5,9.53,0.94,1,5,5
316,109,3.5,8.76,0.77,0,3,3
307,107,3,8.52,0.78,1,3.5,2
306,105,3,8.26,0.73,0,2.5,2
310,106,3.5,8.33,0.73,0,2.5,2
311,104,4.5,8.43,0.7,0,4.5,3
313,107,4,8.69,0.72,0,4.5,3
317,103,2.5,8.54,0.73,1,3,3
315,110,3.5,8.46,0.72,1,3,2
340,120,4.5,9.91,0.97,1,4.5,5
334,120,4,9.87,0.97,1,5,5
298,105,3.5,8.54,0.69,0,4,3
295,99,2.5,7.65,0.57,0,3,2
315,99,3.5,7.89,0.63,0,3,2
310,102,3.5,8.02,0.66,1,4,3
305,106,3,8.16,0.64,0,3,2
301,104,3.5,8.12,0.68,1,4,3
325,108,4.5,9.06,0.79,1,4,4
328,110,5,9.14,0.82,1,4,4
338,120,5,9.66,0.95,1,5,4
333,119,5,9.78,0.96,1,4.5,5
331,117,4.5,9.42,0.94,1,5,4
330,116,5,9.36,0.93,1,4.5,5
322,112,4.5,9.26,0.91,1,4.5,4
321,109,4,9.13,0.85,1,4,4
324,110,3,8.97,0.84,1,3.5,4
312,104,3.5,8.42,0.74,0,3.5,3
313,103,4,8.75,0.76,0,4,3
316,110,3.5,8.56,0.75,0,4,3
324,113,4.5,8.79,0.76,0,4,4
308,109,3,8.45,0.71,0,4,2
305,105,3,8.23,0.67,0,2,2
296,99,2.5,8.03,0.61,0,2.5,2
306,110,3.5,8.45,0.63,0,4,2
312,110,3.5,8.53,0.64,0,3,2
318,112,4,8.67,0.71,0,3.5,3
324,111,3,9.01,0.82,1,3,4
313,104,4,8.65,0.73,0,4.5,3
319,106,3.5,8.33,0.74,1,2.5,3
312,107,2.5,8.27,0.69,0,3.5,2
304,100,2.5,8.07,0.64,0,3.5,2
330,113,5,9.31,0.91,1,4,5
326,111,4.5,9.23,0.88,1,4,5
325,112,4,9.17,0.85,1,4.5,4
329,114,4.5,9.19,0.86,1,5,5
310,104,2,8.37,0.7,0,3.5,3
299,100,1.5,7.89,0.59,0,2,1
296,101,2.5,7.68,0.6,0,3,1
317,103,2.5,8.15,0.65,0,2,2
324,115,3.5,8.76,0.7,1,3,3
325,114,3.5,9.04,0.76,1,3,3
314,107,2.5,8.56,0.63,0,4,2
328,110,4,9.02,0.81,1,2.5,4
316,105,3,8.73,0.72,0,3.5,3
311,104,2.5,8.48,0.71,0,3.5,2
324,110,3.5,8.87,0.8,1,4,3
321,111,3.5,8.83,0.77,1,4,3
320,104,3,8.57,0.74,1,2.5,3
316,99,2.5,9,0.7,0,3,2
318,100,2.5,8.54,0.71,1,3.5,2
335,115,4.5,9.68,0.93,1,4.5,4
321,114,4,9.12,0.85,0,5,4
307,110,4,8.37,0.79,0,4.5,4
309,99,4,8.56,0.76,0,4,3
324,100,4,8.64,0.78,1,5,3
326,102,5,8.76,0.77,1,5,4
331,119,5,9.34,0.9,1,4.5,4
327,108,5,9.13,0.87,1,3.5,5
312,104,3.5,8.09,0.71,0,4,3
308,103,2.5,8.36,0.7,1,4,2
324,111,2.5,8.79,0.7,1,1.5,3
325,110,3,8.76,0.75,1,2.5,2
313,102,2.5,8.68,0.71,0,2.5,3
312,105,2,8.45,0.72,0,2.5,2
314,107,3,8.17,0.73,1,3.5,3
327,113,4.5,9.14,0.83,0,5,4
308,108,4.5,8.34,0.77,0,5,4
306,105,2.5,8.22,0.72,1,3,2
299,96,1.5,7.86,0.54,0,2,2
294,95,1.5,7.64,0.49,0,1.5,1
312,99,1,8.01,0.52,1,1.5,1
315,100,2,7.95,0.58,0,2.5,1
322,110,3.5,8.96,0.78,1,3,3
329,113,5,9.45,0.89,1,4.5,5
320,101,2.5,8.62,0.7,0,3,2
308,103,3,8.49,0.66,0,3.5,2
304,102,3,8.73,0.67,0,4,2
311,102,4.5,8.64,0.68,1,4,3
317,110,4,9.11,0.8,1,4.5,3
312,106,4,8.79,0.81,1,3.5,3
321,111,2.5,8.9,0.8,1,3,3
340,112,5,9.66,0.94,1,4.5,4
331,116,4,9.26,0.93,1,4,5
336,118,4.5,9.19,0.92,1,4,5
324,114,5,9.08,0.89,1,4.5,5
314,104,5,9.02,0.82,0,5,4
313,109,4,9,0.79,0,3.5,3
307,105,2.5,7.65,0.58,0,3,2
300,102,1.5,7.87,0.56,0,2,2
302,99,1,7.97,0.56,0,2,2
312,98,3.5,8.18,0.64,1,3,1
316,101,2.5,8.32,0.61,1,2,2
317,100,3,8.57,0.68,0,2.5,2
310,107,3.5,8.67,0.76,0,3.5,3
320,120,4,9.11,0.86,0,4.5,3
330,114,4.5,9.24,0.9,1,4.5,3
305,112,3,8.65,0.71,0,3.5,3
309,106,2.5,8,0.62,0,2.5,2
319,108,2.5,8.76,0.66,0,3,2
322,105,3,8.45,0.65,1,3,2
323,107,3.5,8.55,0.73,1,3.5,3
313,106,2.5,8.43,0.62,0,2,2
321,109,3.5,8.8,0.74,1,3.5,3
323,110,4,9.1,0.79,1,3.5,3
325,112,4,9,0.8,1,4,4
312,108,3.5,8.53,0.69,0,3,3
308,110,3.5,8.6,0.7,0,3,4
320,104,3,8.74,0.76,1,3.5,3
328,108,4.5,9.18,0.84,1,4,4
311,107,4.5,9,0.78,1,4.5,4
301,100,3.5,8.04,0.67,0,3,3
305,105,3,8.13,0.66,0,4,2
308,104,2.5,8.07,0.65,0,3,2
298,101,1.5,7.86,0.54,0,2,2
300,99,1,8.01,0.58,0,2.5,1
324,111,2.5,8.8,0.79,1,2,3
327,113,3.5,8.69,0.8,1,3,4
317,106,4,8.5,0.75,1,3.5,3
323,104,4,8.44,0.73,1,4,3
314,107,2.5,8.27,0.72,0,4,2
305,102,2,8.18,0.62,0,2.5,2
315,104,3,8.33,0.67,0,2.5,3
326,116,3.5,9.14,0.81,1,4,3
299,100,2,8.02,0.63,0,2,3
295,101,2.5,7.86,0.69,0,2,2
324,112,4,8.77,0.8,1,3.5,4
297,96,2.5,7.89,0.43,0,1.5,2
327,113,3.5,8.66,0.8,1,3,3
311,105,3,8.12,0.73,1,2,2
308,106,3.5,8.21,0.75,1,2.5,3
319,108,3,8.54,0.71,1,3.5,3
312,107,4.5,8.65,0.73,1,4,4
325,111,4,9.11,0.83,1,4.5,4
319,110,3,8.79,0.72,0,2.5,3
332,118,5,9.47,0.94,1,5,5
323,108,4,8.74,0.81,1,4,5
324,107,3.5,8.66,0.81,1,4,5
312,107,3,8.46,0.75,1,3,3
326,110,3.5,8.76,0.79,1,3.5,3
308,106,3,8.24,0.58,0,3,3
305,103,2.5,8.13,0.59,0,3.5,2
295,96,1.5,7.34,0.47,0,2,2
316,98,1.5,7.43,0.49,0,2,1
304,97,1.5,7.64,0.47,0,2,2
299,94,1,7.34,0.42,0,1,1
302,99,2,7.25,0.57,0,2,1
313,101,2.5,8.04,0.62,0,3,3
318,107,3,8.27,0.74,1,3.5,3
325,110,3.5,8.67,0.73,1,4,4
303,100,3,8.06,0.64,1,3.5,2
300,102,3.5,8.17,0.63,0,2.5,3
297,98,2.5,7.67,0.59,0,3,2
317,106,2,8.12,0.73,0,3.5,2
327,109,3.5,8.77,0.79,1,4,3
301,104,3.5,7.89,0.68,1,3.5,2
314,105,2.5,7.64,0.7,0,2,2
321,107,2,8.44,0.81,0,1.5,2
322,110,4,8.64,0.85,1,5,3
334,116,4,9.54,0.93,1,3.5,4
338,115,4.5,9.23,0.91,1,5,5
306,103,2.5,8.36,0.69,0,3,2
313,102,3.5,8.9,0.77,1,4,3
330,114,4.5,9.17,0.86,1,3,4
320,104,3.5,8.34,0.74,1,4.5,3
311,98,1,7.46,0.57,0,2.5,1
298,92,2,7.88,0.51,0,2,1
301,98,2,8.03,0.67,1,3,1
310,103,2.5,8.24,0.72,0,2.5,2
324,110,3.5,9.22,0.89,1,3,3
336,119,4.5,9.62,0.95,1,4,4
321,109,3,8.54,0.79,1,3,3
315,105,2,7.65,0.39,0,2.5,2
304,101,2,7.66,0.38,0,2.5,2
297,96,2.5,7.43,0.34,0,2,2
290,100,1.5,7.56,0.47,0,2,1
303,98,2,7.65,0.56,0,2.5,1
311,99,2.5,8.43,0.71,1,3,1
322,104,3.5,8.84,0.78,1,4,3
319,105,3,8.67,0.73,1,3.5,3
324,110,4.5,9.15,0.82,1,4,4
300,100,3,8.26,0.62,0,3.5,3
340,113,5,9.74,0.96,1,5,4
335,117,5,9.82,0.96,1,5,5
302,101,2.5,7.96,0.46,0,3.5,2
307,105,2,8.1,0.53,0,3.5,2
296,97,1.5,7.8,0.49,0,2,2
320,108,3.5,8.44,0.76,1,4,3
314,102,2,8.24,0.64,0,2.5,2
318,106,2,8.65,0.71,0,3,3
326,112,4,9.12,0.84,1,3.5,4
317,104,3,8.76,0.77,0,3,2
329,111,4.5,9.23,0.89,1,4,4
324,110,3.5,9.04,0.82,1,3.5,3
325,107,3,9.11,0.84,1,3.5,3
330,116,5,9.45,0.91,1,4.5,4
312,103,3.5,8.78,0.67,0,4,3
333,117,5,9.66,0.95,1,4,4